overlay,sample_id,chart_id,decision,reason,analysis_status
phase2_review_00_s09346.png,9346,d8acb3a7d062e305cf5749e61c9966b42cd26dbaaf76f29573be78fa92e39b1a,accept,clean_natural_no_label_bar_and_supported_target,eligible_natural_no_label_bar
phase2_review_01_s06247.png,6247,fec118edb23248df7f607841062536d0fa78edd9fa80557935b3eb3ecd793bfc,reject,bar_count_out_of_scope,bar_count_out_of_scope
phase2_review_02_s04145.png,4145,495631622a65d1959824ae9ba7486afcf369b835ec533775feb3eb56388c0504,reject,direct_data_value_or_numeric_annotation_present,direct_data_value_or_numeric_annotation_present
phase2_review_03_s09545.png,9545,fa6d80afd24b7bc048e1b7f22c5e111ce26b067549281c253321d26f9c65d9fb,reject,multiple_time_categories_assigned_to_one_bar,eligible_natural_no_label_bar
phase2_review_04_s04691.png,4691,a1b78d3197ea667cba924ac910c026c45608f23bffaf23272172e05045799e12,reject,multiple_y_axes_or_panels,multiple_y_axes_or_panels
phase2_review_05_s04631.png,4631,b54fc3788f9fb1294f0c1a89aebe2dd618b97e10e72c1836db74c8d9b3b74a90,reject,possible_marker_series_or_combination,eligible_natural_no_label_bar
phase2_review_06_s05575.png,5575,d8acb3a7d062e305cf5749e61c9966b42cd26dbaaf76f29573be78fa92e39b1a,reject,semantic_target_not_found,eligible_natural_no_label_bar
phase2_review_07_s02363.png,2363,83aa7f614c60dce753a4f4be142634809b6f072946315bc50411be12f3148598,reject,x_axis_labels_unreadable_or_grouped_bars,x_axis_labels_unreadable_or_grouped_bars
phase2_review_08_s10846.png,10846,6570f885b6d198d15bcfc2af198c85f300cc74a0e9feddd20bf1e4e199a722c0,reject,bar_count_out_of_scope,bar_count_out_of_scope
phase2_review_09_s00458.png,458,a3658a926f147abfd2d04da35c6f54893c89886746075500a96a6acd546d4b88,reject,direct_data_value_or_numeric_annotation_present,direct_data_value_or_numeric_annotation_present
phase2_review_10_s09205.png,9205,a1b78d3197ea667cba924ac910c026c45608f23bffaf23272172e05045799e12,reject,multiple_y_axes_or_panels,multiple_y_axes_or_panels
phase2_review_11_s08379.png,8379,0d760b973d51badc4fd69b9d385e2d1d35e5488e80e03ae910d80641fea14650,reject,possible_marker_series_or_combination,eligible_natural_no_label_bar
phase2_review_12_s11095.png,11095,3172d0906eee21d08fb42fa8b9ff5d2effa6fa774cbd856951d4354923611279,reject,semantic_target_not_found,eligible_natural_no_label_bar
phase2_review_13_s07430.png,7430,8102220c508d15f33e3a0b1e425eaa65e778634d2fd27b373f600cc6f7cfd986,reject,x_axis_labels_unreadable_or_grouped_bars,x_axis_labels_unreadable_or_grouped_bars
phase2_review_14_s10195.png,10195,a387be9d12b99ee9861d4ad84c3eb40ecf8614a79dee0e19d44b8c41494cbc05,reject,bar_count_out_of_scope,bar_count_out_of_scope
phase2_review_15_s07995.png,7995,495631622a65d1959824ae9ba7486afcf369b835ec533775feb3eb56388c0504,reject,direct_data_value_or_numeric_annotation_present,direct_data_value_or_numeric_annotation_present
phase2_review_16_s00755.png,755,38f15cf099ed9e93bb9b54371ac38627ff959e10a73ce518ca1951349e4ea32d,reject,multiple_y_axes_or_panels,multiple_y_axes_or_panels
phase2_review_17_s10622.png,10622,06ce6d6082dafbdc51d5a11a14e855d8f41b5dd3b0668fe4a0d6139c6ee80978,reject,possible_marker_series_or_combination,eligible_natural_no_label_bar
phase2_review_18_s10106.png,10106,a58a43d9e36091af944facbce4bb878978822a2ab018233e3a14bf4afcce7c35,reject,x_axis_labels_unreadable_or_grouped_bars,x_axis_labels_unreadable_or_grouped_bars
phase2_review_19_s06100.png,6100,01bcf6a8031f667a23349635a02921c9d78fde424e087c8c3365deddc6f13467,reject,bar_count_out_of_scope,bar_count_out_of_scope
phase2_review_20_s07917.png,7917,2f84d1cd595bdac6956fadfd6d05692cfa6329a55b8c41c30fa30d976f54add7,reject,direct_data_value_or_numeric_annotation_present,direct_data_value_or_numeric_annotation_present
phase2_review_21_s07861.png,7861,f9ff593a9e65302d901aaf42a2d755a9a9cd57e07c13dd088464c73b7d0b84b2,reject,multiple_y_axes_or_panels,multiple_y_axes_or_panels
phase2_review_22_s01595.png,1595,39ce5770bb7958dca2865ebe2a3537d0f4bd6d643df11396f194b1edfb5f171d,reject,possible_marker_series_or_combination,eligible_natural_no_label_bar
phase2_review_23_s06154.png,6154,61393ea1eef5bbdc1f2cdee751c151f14285cd401070aed32b9822178be49f3c,reject,x_axis_labels_unreadable_or_grouped_bars,x_axis_labels_unreadable_or_grouped_bars
