chart_id,target_semantic_label,phase3_auto_local_value,phase4_auto_local_value,pseudo_gold,phase3_abs_error,phase4_abs_error
07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,2016,79.44923184299266,79.40850207604767,79.0,0.44923184299265984,0.4085020760476681
07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,2020,70.61373836314203,70.62025789313884,70.0,0.6137383631420334,0.6202578931388416
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,2QFY23,16.727490739862958,,16.8,0.07250926013704273,
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,3QFY23,12.637332461525268,12.639784670410382,12.7,0.06266753847473083,0.060215329589617284
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,1QFY24,-0.9237917208418551,,-0.9,0.023791720841855102,
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,4QFY23,6.248912142333033,,6.3,0.05108785766696666,
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,4QFY22,22.53639433978463,,22.6,0.06360566021537295,
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,3QFY22,17.435061398156478,17.44559080928094,17.5,0.06493860184352229,0.05440919071905981
63534e777ffe73a3e8737b25bf41765f8ca458ca43c2ce783eed06d15215c4fc,2022,46.81637410614896,46.78975530866239,47.0,0.1836258938510369,0.21024469133760704
63534e777ffe73a3e8737b25bf41765f8ca458ca43c2ce783eed06d15215c4fc,1960,77.74567541053926,77.79525580614103,78.0,0.25432458946073666,0.20474419385897136
ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,FY18,3.814132587124396,3.8124589469809536,3.8,0.014132587124396245,0.012458946980953733
ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,FY19,4.409441895199144,4.409106737821395,4.4,0.009441895199143957,0.009106737821394262
d63df85f351099bf1cc3cc024caa29c19a8260b7fad8c47b88cd9998d4781f83,2022,63.759685103287254,63.76169895506576,64.0,0.24031489671274642,0.23830104493423931
d63df85f351099bf1cc3cc024caa29c19a8260b7fad8c47b88cd9998d4781f83,2016,67.36752204777588,67.37134621295162,67.0,0.3675220477758785,0.3713462129516216
d63df85f351099bf1cc3cc024caa29c19a8260b7fad8c47b88cd9998d4781f83,2022,63.759685103287254,63.76169895506576,63.0,0.7596851032872536,0.7616989550657607
f67e4ec462a67537ded3224f596a1db3d5f2df8ed0536a7ae0ba43cad1cdf115,Oct-23,32.92546920460665,32.924277035136875,33.0,0.0745307953933505,0.07572296486312524
