chart_id,split,chart_kind,sample_count,leakage_check
02fbe52b0addee5150272781d9f1cd9034dff40bb5674f6f804a0c50ef7cda29,train,multi_line,2,chart_disjoint
044ddc0a03bbfdd12c3c4cddf7b2a27bac597d55df9d8a1f7b7c2155b86b7766,train,multi_line,1,chart_disjoint
04901894fd4c37e24c7dc81559baba28d48552ad4d35b8d55782a2a9c4a9e937,train,single_line,1,chart_disjoint
04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,train,multi_line,3,chart_disjoint
07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,train,multi_line,2,chart_disjoint
0b29203f223af5db5593570dc213d2ab9231fd234ec685e0e7babafffc197885,train,multi_line,2,chart_disjoint
0e40dfdc1de3286bcff573dbdeca65940c0f2a5584d3da08f16267ccd289d51c,train,multi_line,5,chart_disjoint
13d33ca8afe33042fbfd73d92336e97bf5abfa1f254596124f2b3c3330d4b163,train,multi_line,1,chart_disjoint
2299bdb915a90a685d20abce3696ca7a7ecce5c65583c0c45b03286b808815bc,train,multi_line,2,chart_disjoint
2d5c7091b9d4b68f0a8d756bc6ae376deb6783a8dce2980aa935997309f689d2,test,multi_line,1,chart_disjoint
2f64995a24fe867563e33e8a669cf7c0665747a51ba6e3a60c63ed8f92b6d8f9,train,single_line,2,chart_disjoint
2f84858d40ae59e95053cfdcf2a53a07182c1033873786b6e51911f93ab8e8de,train,multi_line,1,chart_disjoint
2fa0a7d0ebd348d498b0b6299368c17829b34933971a43dbed76d9c506a57ca4,test,multi_line,5,chart_disjoint
30c0d5d99fc36fb3c96e9be1c9c47e15c1135e9037ffec297b22652d320f36d3,test,single_line,1,chart_disjoint
41bfb4e074dcc1b142ca6508a876e4a6b111873f59d94a2af726f7f9cd0eec7d,train,multi_line,1,chart_disjoint
430fc856acd67489214e939cda8bc73ef4017815e24f13d46ec22009ba852efd,train,multi_line,3,chart_disjoint
4f0ec49d1ae75953e5429ee20390b59b5c10823b2d36dd887a03151848dd6ac3,test,multi_line,3,chart_disjoint
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,train,multi_line,6,chart_disjoint
63534e777ffe73a3e8737b25bf41765f8ca458ca43c2ce783eed06d15215c4fc,test,multi_line,2,chart_disjoint
71fab834bf28317f1537051879700ee8e8187e5b03929d3a4df3ac48191f42a8,train,multi_line,1,chart_disjoint
785c295d56f999c992be816668d2cff9eed8392ee1be4d7e9604231848918104,test,single_line,2,chart_disjoint
814e714d7195f873aa170b607266565df60371a766fc84d67247a48c211f0f3e,train,single_line,1,chart_disjoint
81c2916fe1c4b6878c4df85a7e7408cc233dbab8aa74503a278161542d3846d0,test,single_line,1,chart_disjoint
831efdf5408cdffad6ee9deae12dbc2ec0beb864a7bbf17040568b8800901f63,train,multi_line,3,chart_disjoint
881025067b60be71eaf10afd9ad874b4091d8789fc91feff70658d478a1add00,test,multi_line,1,chart_disjoint
8fb8641d45a0bbcd61946561af242399cb03abc2a8964f563872c4fb55d68d5a,train,multi_line,1,chart_disjoint
93544dfd13510ff95fed9b9c64009f36aa529bed85a6f6d4cac9de03497c7d5d,test,multi_line,1,chart_disjoint
ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,train,single_line,2,chart_disjoint
d63df85f351099bf1cc3cc024caa29c19a8260b7fad8c47b88cd9998d4781f83,train,multi_line,3,chart_disjoint
eaf32e2934028082114234ee9b1c9c7c5aeb2f930793f2643c9f8b7173c77f24,test,multi_line,2,chart_disjoint
ed9bd360d69937ada5c2a1060227a252ff07b99b7b54305c58981d93f2491897,train,single_line,2,chart_disjoint
f67e4ec462a67537ded3224f596a1db3d5f2df8ed0536a7ae0ba43cad1cdf115,train,multi_line,1,chart_disjoint
