chart_id,representative_sample_id,image_path,candidate_source,viable_line_label_count,include_simple_single_line,screening_reason,review_basis
02fbe52b0addee5150272781d9f1cd9034dff40bb5674f6f804a0c50ef7cda29,1191,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1191.jpg,phase1_candidate_scan_v3,1,0,multiple_line_series,manual_structure_audit
04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,4736,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/4736.jpg,phase1_candidate_scan_v3,3,0,multiple_line_series,manual_structure_audit
07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,801,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/801.jpg,phase1_candidate_scan_v3,3,1,simple_single_series_single_y_axis_line,manual_structure_audit_plus_prefilter
0984f9f91153f4c634fe36acbd2e613ca604ad4dbdd5f14e90deb6fb1ca58447,1339,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1339.jpg,phase1_candidate_scan_v3,1,1,simple_single_series_single_y_axis_line,manual_structure_audit_plus_prefilter
0b29203f223af5db5593570dc213d2ab9231fd234ec685e0e7babafffc197885,454,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/454.jpg,phase1_candidate_scan_v3,1,0,multiple_line_series,manual_structure_audit
2299bdb915a90a685d20abce3696ca7a7ecce5c65583c0c45b03286b808815bc,1687,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1687.jpg,phase1_candidate_scan_v3,1,0,multiple_line_series,manual_structure_audit
2a6cb688ecc10d292c729ab031e3cd051a46617a5f14a587e6f455447e18c5a1,5213,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/5213.jpg,phase1_candidate_scan_v3,1,0,multiple_line_series,manual_structure_audit
4e134f86b7106e0d34f3eb6716459454737b738ad14f804e07e254d18bd829d8,556,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/556.jpg,phase1_candidate_scan_v3,1,0,line_plus_reference_series,manual_structure_audit
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,5038,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/5038.jpg,phase1_candidate_scan_v3,6,1,simple_single_series_single_y_axis_line,manual_structure_audit_plus_prefilter
63534e777ffe73a3e8737b25bf41765f8ca458ca43c2ce783eed06d15215c4fc,10,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/10.jpg,phase1_candidate_scan_v3,2,1,simple_single_series_single_y_axis_line,manual_structure_audit_plus_prefilter
9500279cecd9aad131f3c57b14681d07285d07524501aac928bd7fade64662a0,1503,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1503.jpg,phase1_candidate_scan_v3,3,0,dual_axis_multiple_series,manual_structure_audit
a0b47eb2b96478aef9d4153530745d6f9c5d0ca9ae2eea829ca619526e513389,2547,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/2547.jpg,phase1_candidate_scan_v3,1,1,simple_single_series_single_y_axis_line,manual_structure_audit_plus_prefilter
cd292e261fcf22bcd300366b04e42834cf48b4b0ce865cb7dcbf258f36d3de91,190,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/190.jpg,phase1_candidate_scan_v3,1,0,complex_multi_series_annotated_chart,manual_structure_audit
ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,1356,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1356.jpg,phase1_candidate_scan_v3,3,1,simple_single_series_single_y_axis_line,manual_structure_audit_plus_prefilter
d06513beafeca7f3e1dc8da074a588cc5d0c935e67fdd01ac8c2acef9142d58f,1239,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1239.jpg,phase1_candidate_scan_v3,1,0,multiple_line_series,manual_structure_audit
d63df85f351099bf1cc3cc024caa29c19a8260b7fad8c47b88cd9998d4781f83,1023,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1023.jpg,phase1_candidate_scan_v3,3,1,simple_single_series_single_y_axis_line,manual_structure_audit_plus_prefilter
db65446f33c0ac6bdff08f2cf7f4eacee00158b395d475073e87a80494a4869a,147,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/147.jpg,phase1_candidate_scan_v3,3,0,bar_chart_misclassified_as_line,manual_structure_audit
eed22fe6e4f0cc57f853141845971691f8ebb2861c663a183e4793d03ff68e82,171,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/171.jpg,phase1_candidate_scan_v3,2,0,multiple_line_series,manual_structure_audit
f27fe8d4aa6f244195f63da7fa8e6df816531c861afc84bfd9a0a053664909c4,971,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/971.jpg,phase1_candidate_scan_v3,1,0,multiple_line_series,manual_structure_audit
f67e4ec462a67537ded3224f596a1db3d5f2df8ed0536a7ae0ba43cad1cdf115,4292,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/4292.jpg,phase3_additional_line_scan,1,1,simple_single_series_single_y_axis_line,manual_structure_audit_plus_targeted_additional_scan
