chart_id,split,sample_count,chart_types
025ec932975a23557b67c8f767d50aa2188631b69ef3f2ac45ea7ff7694d7586,train,1,bar
02fbe52b0addee5150272781d9f1cd9034dff40bb5674f6f804a0c50ef7cda29,train,1,line
04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,train,1,line
07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,train,1,line
0984f9f91153f4c634fe36acbd2e613ca604ad4dbdd5f14e90deb6fb1ca58447,train,1,line
0b29203f223af5db5593570dc213d2ab9231fd234ec685e0e7babafffc197885,train,1,line
14877643e9e1724187312912484160c225be8b712b57d21c7ed4e3a652319403,train,1,bar
17c6c561c6276c4aab1b6bd0697280bd78983f4ae29059d03539d20ac7c11daa,test,1,bar
18bb8b3f69e5fc0f73dbc3c6ed1ad5be56eb13eec281030ca09805d9b2333be6,test,1,bar
2053449d42ad9411eae99b9d96ecb200c559ad0439b321a562320c1168e72f23,test,1,bar
2248cf613c21b6c59108d6336a58f37996a264eb4d5057860063723eaa6eb615,train,1,bar
2299bdb915a90a685d20abce3696ca7a7ecce5c65583c0c45b03286b808815bc,train,1,line
2312721c64d4f3d2f42461c01077a09c78da9a95450509d143ffcae72b9ecfc0,train,1,bar
231d575a3bb0ec3e43be3dc0f2c283c235657d98062655b6180966c87ea43c65,test,1,bar
27e5374d78e0474e0505c409414bbecb66f6b62dc1a83f43a0262ce91c62e6c4,train,1,bar
290ac6c778ba7651780044de310492c3e8409dc5f47451570fa65191ed518da6,train,1,bar
2a6cb688ecc10d292c729ab031e3cd051a46617a5f14a587e6f455447e18c5a1,train,1,line
2c84a0155e7c7059570e1dc701b10ca2dc0fe6298fb5b35a883b0647c66b2bda,train,1,bar
2d3031df1d40645906510aa74552eb3edbdf9ab97e47dd0b2a35467b375d5784,train,1,bar
3570cd6566e81f7ef55f3b2ae5b5c7e35bd82e702597c16f2be5984a8e9d85c3,train,1,bar
36c03d67a0a138bec8c08a66b03709f8fd04ecf05da47dc00254fdbe2e21af3a,train,1,bar
3822fe9af1acb759ae19dc9db77cc35d3110c674b9b26901e7269f79568a13e0,train,1,bar
3ad554d70f7bfb60b34e389b9aacd1226dc40a56280011ae6cf8f462475c9c5f,train,1,bar
41b6f61021b3f66a2b866d3a59504adb7637cf45b818c8d9c20202d0eb13fe1c,train,1,bar
4ba17a60ee1ffacff3e634ec938c72b6a6b366fa5318f059c3f48b664a541cac,train,1,bar
4e134f86b7106e0d34f3eb6716459454737b738ad14f804e07e254d18bd829d8,train,1,line
4e7ce11fec61c5286c550fd7d939fd3ab7d2fcc2e1d6164cde0df759006cc890,train,1,bar
4feb7278f061a991ea8aaa04725ad85e115058efe47649d51626fcc9aed0308f,train,1,bar
50cf0aaed5e06b81e22be7650be66be4aef86658d030630bc6ee17d9e9e6ddc9,train,1,bar
588ddda36fa7ed9119c1dfc7b44a66fb386c30a52360356b2eb6e0b0ae026fb8,train,1,bar
5d1c7791a81855d279794d637f23b0b950f1e1b641b33b9af78ee4ce30fe2960,train,1,bar
5d753d0bfff6fb1f9f39897470fcb185c25ad7ddfd8c07fd87bd4e13704a9671,train,1,bar
6035ec2e1197ba04f0b9b73df44571ebb1e53294fd2df5d2162e51957306be05,test,1,bar
61e21ce6de0d5fd0f81a3ca77dccc7f099f90340094a3b293267e82705005f9b,train,1,line
63534e777ffe73a3e8737b25bf41765f8ca458ca43c2ce783eed06d15215c4fc,test,1,line
65fed7b10054d8f2200ccfc59fa01a9560b109e468758931c0e0cc023b6e69ac,train,1,bar
684f6ac269d0ca76c0110a35a7bea1790f8452c58961c6bd6f5e40707304b02a,train,1,bar
69fa6f61c59e9617b0bb8a8876634be294098e986fca2fddae6c2a20626ebaf2,train,1,bar
6acbf26d07dab53f18d0e6ff9eb6114d7981fa6bbab42c5bc68929ebacf0de1b,train,1,bar
7bdb29b657afc5581db608a80ae61a0287d8dbfe1fcb24c036c6f90e8e5e2643,test,1,bar
7f16cc145bc005a436fb69db7be0cda47321305cde0efa1b7027b543351266a6,train,1,bar
8031712cb555d0e625558f8a88b92a2fd55115eadc8123ebc0ef94f9da761eff,train,1,bar
82394dbe9e5ffd0d8e62d047229e5095f1b0dac53296d913a9e4a65565770576,test,1,bar
828778f64c47c68f388fc85a931e37f8d1b9687f6ed8110b479545f5ceb6a580,train,1,bar
859985823fb9f665b64de0e78e12e02c17933f96779ef9b89b6d22a4e9048d35,train,1,bar
85d858a9afe8d0632f51fdff401cee14790005b5c45c7708841553a6fca9dadc,train,1,bar
87f9ccbdcbd7240407c6466ba059c7e400d7ec1459ea13a2528f7704d12b54d9,train,1,bar
8d32f550217a1239a7ee745d19d9674f435b6df08ef284499bfa9e95ad8a2d52,train,1,bar
8f567d7578e2d056c3c4876afad3aa025cbec4d3101647a605228ac787a31943,train,1,bar
8ff98d895fcf701e69d4e0ca5870145394f8719c1e86557e40392f7492b95ebb,train,1,bar
9aff41a612557b3aa55906331cbb7098d4aa0c632337e22ba6d4dd95f2fb30ad,train,1,bar
9efe1402c083bf79684f6e713f4071cd47b949e49f35484631191aad18da0102,train,1,bar
a8049e206e876ab4ee4c13e7354108806dfd89161f9a133bd5341e005fdd002c,test,1,bar
a812edb9bbf14bdb57c1e7ab7f75fb3293660606bb79b4551c28c38e7d673ceb,test,1,bar
ace8e5f4b2d818db4454f4100daee1cf7521458feeb21eadb1f85c1323b50a1c,test,1,bar
ae0fbfa81783e9a42d131f0e3068f6510f1174fde6b5bee18c2445a1e510a4db,test,1,bar
b1ecdc197e17bd202d70738dd7ea349eb6493fd0f6fe134896770feced660fe3,train,1,bar
b77a3ca2e7d164cf210099a27449084e05305395d2edf999c6410fadbdcccebf,train,1,bar
b8dc979da31a72808058dc616c7cd4504129a10d31af0d2155e5b16455e61827,test,1,bar
b903ba8b9dbe032a463994aca84c8faf054f1c906907ae936ffa2c1679f8c874,test,1,bar
c2dbced08b36e465094b3f0c1d6ce788187f37ea862c965fe262ec8f0da597ac,train,1,bar
c349c55fd9afe5690ffca5b87838c1b55fee74b66d00ab09c659a1f7f761d3f2,train,1,bar
cd292e261fcf22bcd300366b04e42834cf48b4b0ce865cb7dcbf258f36d3de91,test,1,line
ce8bb0ba270a7a51320b183e8628563b88c2cadab27076c9bb68a841b03bd7ad,train,1,line
d06513beafeca7f3e1dc8da074a588cc5d0c935e67fdd01ac8c2acef9142d58f,test,1,line
d084c507f60eeed28fbd324fd2848238c397f470e50d18ad349b8f6487804697,train,1,bar
d18b81f1b93d3cd5b126e03cb859624f4d73fe274b615b8c6c3daa9a7df9c5cd,test,1,bar
d3f516e48b08a0ecef02bacf431259dfd52b71d833f60edbc3dfa4e60b6c33a6,test,1,bar
d63df85f351099bf1cc3cc024caa29c19a8260b7fad8c47b88cd9998d4781f83,train,1,line
d823654ed4cfa0b0bf0e8b3b7621a23d7083c0225ba118a122e63dacfab9c81a,train,1,bar
da8227279fa53d8478e6d3278ee08bf02b508e108a5f6e96efffd4b1649dc0fe,train,1,bar
ddd5a57d534dcad58790a9de7dcd8ada3a777c48cdcd35541f50d82a17c31ea8,test,1,bar
dee57608490d0ab8cdc5a974268afe9d8346124007569a648c3e44241356dcd5,train,1,bar
e17a5d5583f5de76f80fa88399622762c910d6aa96de608586d6be1231155eaf,train,1,bar
e287cbe2efd50476d70628382e1546ba75a85044b6a44c4e67ac434de381a16d,train,1,bar
e6ea88040833848fa9bb1451629bb4cdce80de453fcd33044e43215a891b5513,train,1,bar
e961558d7516166a491545c72a96ddffc3b2b6f707f3ff3aad4b101ddcb408a9,train,1,bar
eb74e3a162cd33b6bdf70ffb71ec3d75a753eb4abe6450a1408314f6ce4ecd3d,train,1,bar
ebaa929cc7a5fe4976ef33944033187910384cb02e46bf293843fcb64721bd9c,train,1,bar
ebf6813a9079ff1288c7e3da265c78cedd9305e335bfcd2b07606fe1207656a3,train,1,bar
ecd4d5c7ea2637ca9ae5fac111d3d436bede5a1ed521129f1c287eb68cb3f22e,test,1,bar
eed22fe6e4f0cc57f853141845971691f8ebb2861c663a183e4793d03ff68e82,test,1,line
f1d40aa21987750e8179647ae782b8b4b51a915699584e4f9370ae3afe789094,train,1,bar
f45ed58d1cd78dd28db26df15d7293cd8c353bb6caf1c5985612876063a477fc,train,1,bar
f8397d215b66ea8f32c900fc81ef9bcad597bd641f9de2e4e04dac4f7bf96944,test,1,bar
fa21f4ffe212ccdbcb219bada4b4065568e0baffc733cfee558c6b4a0ea6c96c,train,1,bar
fb0e35321af38020502240f0f1633e70be323dbaee7d43e109304efb9c99fb60,train,1,bar
